,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,5,65.0,8450,2,,4,4,2,5,3,24,9,8,5,7,7,5,2003,2003,6,8,15,16,3.0,196.0,3,5,6,3.0,4.0,4.0,5.0,706,6.0,0,150,856,6,5,2,5.0,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,,6.0,2003.0,2.0,2,548,5.0,5.0,3,0,61,0,0,0,0,,,,0,2,2008,9,6,208500
1,2,20,5,80.0,9600,2,,4,4,2,2,3,3,8,8,5,8,6,8,1976,1976,6,8,13,15,4.0,0.0,4,5,5,3.0,4.0,2.0,4.0,978,6.0,0,284,1262,6,5,2,5.0,1262,0,0,1262,0,1,2,0,3,1,4,6,7,1,4.0,6.0,1976.0,2.0,2,460,5.0,5.0,3,298,0,0,0,0,0,,,,0,5,2007,9,6,181500
2,3,60,5,68.0,11250,2,,3,4,2,5,3,24,9,8,5,7,7,5,2001,2002,6,8,15,16,3.0,162.0,3,5,6,3.0,4.0,1.0,5.0,486,6.0,0,434,920,6,5,2,5.0,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,4.0,6.0,2001.0,2.0,2,608,5.0,5.0,3,0,42,0,0,0,0,,,,0,9,2008,9,6,223500
3,4,70,5,60.0,9550,2,,3,4,2,4,3,14,9,8,5,7,7,5,1915,1970,6,8,12,10,4.0,0.0,4,5,4,4.0,3.0,4.0,4.0,216,6.0,0,540,756,6,3,2,5.0,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,5.0,5.0,1998.0,3.0,3,642,5.0,5.0,3,0,35,272,0,0,0,,,,0,2,2006,9,4,140000
4,5,60,5,84.0,14260,2,,3,4,2,2,3,12,9,8,5,7,8,5,2000,2000,6,8,15,16,3.0,350.0,3,5,6,3.0,4.0,3.0,5.0,655,6.0,0,490,1145,6,5,2,5.0,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,4.0,6.0,2000.0,2.0,3,836,5.0,5.0,3,192,84,0,0,0,0,,,,0,12,2008,9,6,250000
5,6,50,5,85.0,14115,2,,3,4,2,5,3,13,9,8,5,6,5,5,1993,1995,6,8,15,16,4.0,0.0,4,5,1,3.0,4.0,4.0,5.0,732,6.0,0,64,796,6,5,2,5.0,796,566,0,1362,1,0,1,1,1,1,4,5,7,0,,6.0,1993.0,3.0,2,480,5.0,5.0,3,40,30,0,320,0,0,,MnPrv,Shed,700,10,2009,9,6,143000
6,7,20,5,75.0,10084,2,,4,4,2,5,3,21,9,8,5,8,8,5,2004,2005,6,8,15,16,2.0,186.0,3,5,6,2.0,4.0,3.0,5.0,1369,6.0,0,317,1686,6,5,2,5.0,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,5.0,6.0,2004.0,2.0,2,636,5.0,5.0,3,255,57,0,0,0,0,,,,0,8,2007,9,6,307000
7,8,60,5,,10382,2,,3,4,2,4,3,17,5,8,5,7,7,6,1973,1973,6,8,14,14,2.0,240.0,4,5,5,3.0,4.0,1.0,4.0,859,3.0,32,216,1107,6,5,2,5.0,1107,983,0,2090,1,0,2,1,3,1,4,7,7,2,4.0,6.0,1973.0,2.0,2,484,5.0,5.0,3,235,204,228,0,0,0,,,Shed,350,11,2009,9,6,200000
8,9,50,4,51.0,6120,2,,4,4,2,5,3,23,7,8,5,6,7,5,1931,1950,6,8,9,10,4.0,0.0,4,5,4,4.0,4.0,4.0,6.0,0,6.0,0,952,952,6,3,2,3.0,1022,752,0,1774,0,0,2,0,2,2,4,8,5,2,4.0,5.0,1931.0,3.0,2,468,4.0,5.0,3,90,0,205,0,0,0,,,,0,4,2008,9,4,129900
9,10,190,5,50.0,7420,2,,4,4,2,4,3,15,7,4,1,3,5,6,1939,1950,6,8,13,15,4.0,0.0,4,5,4,4.0,4.0,4.0,5.0,851,6.0,0,140,991,6,5,2,5.0,1077,0,0,1077,1,0,1,0,2,2,4,5,7,2,4.0,6.0,1939.0,2.0,1,205,3.0,5.0,3,0,4,0,0,0,0,,,,0,1,2008,9,6,118000
10,11,20,5,70.0,11200,2,,4,4,2,5,3,18,9,8,5,8,5,5,1965,1965,5,8,14,14,4.0,0.0,4,5,5,4.0,4.0,4.0,2.0,906,6.0,0,134,1040,6,5,2,5.0,1040,0,0,1040,1,0,1,0,3,1,4,5,7,0,,5.0,1965.0,3.0,1,384,5.0,5.0,3,0,0,0,0,0,0,,,,0,2,2008,9,6,129500
11,12,60,5,85.0,11924,2,,3,4,2,5,3,19,9,8,5,7,9,5,2005,2006,5,8,8,10,2.0,286.0,2,5,6,2.0,4.0,4.0,5.0,998,6.0,0,177,1175,6,5,2,5.0,1182,1142,0,2324,1,0,3,0,4,1,2,11,7,2,5.0,4.0,2005.0,1.0,3,736,5.0,5.0,3,147,21,0,0,0,0,,,,0,7,2006,8,5,345000
12,13,20,5,,12968,2,,2,4,2,5,3,18,9,8,5,8,5,6,1962,1962,5,8,14,12,4.0,0.0,4,5,5,4.0,4.0,4.0,4.0,737,6.0,0,175,912,6,4,2,5.0,912,0,0,912,1,0,1,0,2,1,4,4,7,0,,5.0,1962.0,3.0,1,352,5.0,5.0,3,140,0,0,0,176,0,,,,0,9,2008,9,6,144000
13,14,20,5,91.0,10652,2,,3,4,2,5,3,24,9,8,5,8,7,5,2006,2007,6,8,15,16,2.0,306.0,3,5,6,3.0,4.0,3.0,6.0,0,6.0,0,1494,1494,6,5,2,5.0,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,5.0,6.0,2006.0,2.0,3,840,5.0,5.0,3,160,33,0,0,0,0,,,,0,8,2007,8,5,279500
14,15,20,5,,10920,2,,3,4,2,4,3,25,9,8,5,8,6,5,1960,1960,5,8,13,15,3.0,212.0,4,5,5,4.0,4.0,4.0,3.0,733,6.0,0,520,1253,6,4,2,5.0,1253,0,0,1253,1,0,1,1,2,1,4,5,7,1,3.0,6.0,1960.0,2.0,1,352,5.0,5.0,3,0,213,176,0,0,0,,GdWo,,0,5,2008,9,6,157000
15,16,45,4,51.0,6120,2,,4,4,2,4,3,15,9,8,5,3,7,8,1929,2001,6,8,12,13,4.0,0.0,4,5,4,4.0,4.0,4.0,6.0,0,6.0,0,832,832,6,5,2,4.0,854,0,0,854,0,0,1,0,2,1,4,5,7,0,,5.0,1991.0,3.0,2,576,5.0,5.0,3,48,112,0,0,0,0,,GdPrv,,0,7,2007,9,6,132000
16,17,20,5,,11241,2,,3,4,2,3,3,25,9,8,5,8,6,7,1970,1970,6,8,12,13,3.0,180.0,4,5,5,4.0,4.0,4.0,4.0,578,6.0,0,426,1004,6,5,2,5.0,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,4.0,6.0,1970.0,1.0,2,480,5.0,5.0,3,0,0,0,0,0,0,,,Shed,700,3,2010,9,6,149000
