,1stFlrSF,2ndFlrSF,3SsnPorch,Alley,BedroomAbvGr,BldgType,BsmtCond,BsmtExposure,BsmtFinSF1,BsmtFinSF2,BsmtFinType1,BsmtFinType2,BsmtFullBath,BsmtHalfBath,BsmtQual,BsmtUnfSF,CentralAir,Condition1,Condition2,Electrical,EnclosedPorch,ExterCond,ExterQual,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageArea,GarageCars,GarageCond,GarageFinish,GarageQual,GarageType,GarageYrBlt,GrLivArea,HalfBath,Heating,HeatingQC,HouseStyle,Id,KitchenAbvGr,KitchenQual,LandContour,LandSlope,LotArea,LotConfig,LotFrontage,LotShape,LowQualFinSF,MSSubClass,MSZoning,MasVnrArea,MasVnrType,MiscFeature,MiscVal,MoSold,Neighborhood,OpenPorchSF,OverallCond,OverallQual,PavedDrive,PoolArea,PoolQC,RoofMatl,RoofStyle,SaleCondition,SalePrice,SaleType,ScreenPorch,Street,TotRmsAbvGrd,TotalBsmtSF,Utilities,WoodDeckSF,YearBuilt,YearRemodAdd,YrSold
0,856,854,0,1,3,0,TA,3,706.0,0.0,2,6,1.0,0.0,Gd,150.0,1,2,2,4,0,TA,Gd,12,13,4,NFQu,0,2,2,6,548.0,2.0,NG,0,NG,0,0,1710,1,1,Ex,5,1,1,Gd,3,0,8450,4,65.0,3,0,60,3,196.0,1,1,0,2,5,61,5,7,2,0,NPool,1,1,4,208500.0,8,0,1,8,856.0,0,0,2003,2003,2008
1,1262,0,0,1,3,0,TA,1,978.0,0.0,0,6,0.0,1.0,Gd,284.0,1,1,2,4,0,TA,TA,8,8,4,TA,1,1,2,6,460.0,2.0,NG,0,NG,0,0,1262,0,1,Ex,2,2,1,TA,3,0,9600,2,80.0,3,0,20,3,0.0,3,1,0,5,24,0,8,6,2,0,NPool,1,1,4,181500.0,8,0,1,6,1262.0,0,298,1976,1976,2007
2,920,866,0,1,3,0,TA,2,486.0,0.0,2,6,1.0,0.0,Gd,434.0,1,2,2,4,0,TA,Gd,12,13,4,TA,1,2,2,6,608.0,2.0,NG,0,NG,0,0,1786,1,1,Ex,5,3,1,Gd,3,0,11250,4,68.0,0,0,60,3,162.0,1,1,0,9,5,42,5,7,2,0,NPool,1,1,4,223500.0,8,0,1,6,920.0,0,0,2001,2002,2008
3,961,756,0,1,3,0,Gd,3,216.0,0.0,0,6,1.0,0.0,TA,540.0,1,2,2,4,272,TA,TA,13,15,4,Gd,1,0,1,6,642.0,3.0,NG,0,NG,0,0,1717,0,1,Gd,5,4,1,Gd,3,0,9550,0,60.0,0,0,70,3,0.0,3,1,0,2,6,35,5,7,2,0,NPool,1,1,0,140000.0,8,0,1,7,756.0,0,0,1915,1970,2006
4,1145,1053,0,1,4,0,TA,0,655.0,0.0,2,6,1.0,0.0,Gd,490.0,1,2,2,4,0,TA,Gd,12,13,4,TA,1,2,2,6,836.0,3.0,NG,0,NG,0,0,2198,1,1,Ex,5,5,1,Gd,3,0,14260,2,84.0,0,0,60,3,350.0,1,1,0,12,15,84,5,8,2,0,NPool,1,1,4,250000.0,8,0,1,9,1145.0,0,192,2000,2000,2008
5,796,566,320,1,1,0,TA,3,732.0,0.0,2,6,1.0,0.0,Gd,64.0,1,2,2,4,0,TA,TA,12,13,2,NFQu,0,5,1,6,480.0,2.0,NG,0,NG,0,0,1362,1,1,Ex,0,6,1,TA,3,0,14115,4,85.0,0,0,50,3,0.0,3,3,700,10,11,30,5,5,2,0,NPool,1,1,4,143000.0,8,0,1,5,796.0,0,40,1993,1995,2009
6,1694,0,0,1,3,0,TA,0,1369.0,0.0,2,6,1.0,0.0,Ex,317.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,2,6,636.0,2.0,NG,0,NG,0,0,1694,0,1,Ex,2,7,1,Gd,3,0,10084,4,75.0,3,0,20,3,186.0,4,1,0,8,21,57,5,8,2,0,NPool,1,1,4,307000.0,8,0,1,7,1686.0,0,255,2004,2005,2007
7,1107,983,0,1,3,0,TA,2,859.0,32.0,0,1,1.0,0.0,Gd,216.0,1,4,2,4,228,TA,TA,6,6,4,TA,2,1,2,6,484.0,2.0,NG,0,NG,0,0,2090,1,1,Ex,5,8,1,TA,3,0,10382,0,68.0,0,0,60,3,240.0,4,3,350,11,14,204,6,7,2,0,NPool,1,1,4,200000.0,8,0,1,7,1107.0,0,235,1973,1973,2009
8,1022,752,0,1,2,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,952.0,1,0,2,1,205,TA,TA,3,15,4,TA,2,0,2,2,468.0,2.0,NG,0,NG,0,0,1774,0,1,Gd,0,9,2,TA,3,0,6120,4,51.0,3,0,50,4,0.0,3,1,0,4,17,0,5,7,2,0,NPool,1,1,0,129900.0,8,0,1,8,952.0,0,90,1931,1950,2008
9,1077,0,0,1,2,1,TA,3,851.0,0.0,2,6,1.0,0.0,TA,140.0,1,0,0,4,0,TA,TA,8,8,4,TA,2,0,1,6,205.0,1.0,NG,0,NG,0,0,1077,0,1,Ex,1,10,2,TA,3,0,7420,0,50.0,3,0,190,3,0.0,3,1,0,1,3,4,6,5,2,0,NPool,1,1,4,118000.0,8,0,1,5,991.0,0,0,1939,1950,2008
10,1040,0,0,1,3,0,TA,3,906.0,0.0,5,6,1.0,0.0,TA,134.0,1,2,2,4,0,TA,TA,6,6,4,NFQu,0,1,1,6,384.0,1.0,NG,0,NG,0,0,1040,0,1,Ex,2,11,1,TA,3,0,11200,4,70.0,3,0,20,3,0.0,3,1,0,2,19,0,5,5,2,0,NPool,1,3,4,129500.0,8,0,1,5,1040.0,0,0,1965,1965,2008
11,1182,1142,0,1,4,0,TA,3,998.0,0.0,2,6,1.0,0.0,Ex,177.0,1,2,2,4,0,TA,Ex,14,15,4,Gd,2,2,3,6,736.0,3.0,NG,0,NG,0,0,2324,0,1,Ex,5,12,1,Ex,3,0,11924,4,85.0,0,0,60,3,286.0,4,1,0,7,16,21,5,9,2,0,NPool,1,3,5,345000.0,6,0,1,11,1175.0,0,147,2005,2006,2006
12,912,0,0,1,2,0,TA,3,737.0,0.0,0,6,1.0,0.0,TA,175.0,1,2,2,4,0,TA,TA,6,10,4,NFQu,0,1,1,6,352.0,1.0,NG,0,NG,0,0,912,0,1,TA,2,13,1,TA,3,0,12968,4,68.0,1,0,20,3,0.0,3,1,0,9,19,0,6,5,2,0,NPool,1,3,4,144000.0,8,176,1,4,912.0,0,140,1962,1962,2008
13,1494,0,0,1,3,0,TA,0,0.0,0.0,6,6,0.0,0.0,Gd,1494.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,2,6,840.0,3.0,NG,0,NG,0,0,1494,0,1,Ex,2,14,1,Gd,3,0,10652,4,91.0,0,0,20,3,306.0,4,1,0,8,5,33,5,7,2,0,NPool,1,1,5,279500.0,6,0,1,7,1494.0,0,160,2006,2007,2007
14,1253,0,0,1,2,0,TA,3,733.0,0.0,1,6,1.0,0.0,TA,520.0,1,2,2,4,176,TA,TA,8,8,1,Fa,1,1,1,6,352.0,1.0,NG,0,NG,0,0,1253,1,1,TA,2,15,1,TA,3,0,10920,0,68.0,0,0,20,3,212.0,1,1,0,5,12,213,5,6,2,0,NPool,1,3,4,157000.0,8,0,1,5,1253.0,0,0,1960,1960,2008
15,854,0,0,1,2,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,832.0,1,2,2,0,0,TA,TA,13,14,0,NFQu,0,0,1,6,576.0,2.0,NG,0,NG,0,0,854,0,1,Ex,1,16,1,TA,3,0,6120,0,51.0,3,0,45,4,0.0,3,1,0,7,3,112,8,7,2,0,NPool,1,1,4,132000.0,8,0,1,5,832.0,0,48,1929,2001,2007
16,1004,0,0,1,2,0,TA,3,578.0,0.0,0,6,1.0,0.0,TA,426.0,1,2,2,4,0,TA,TA,13,14,4,TA,1,1,1,6,480.0,2.0,NG,0,NG,0,0,1004,0,1,Ex,2,17,1,TA,3,0,11241,1,68.0,0,0,20,3,180.0,1,3,700,3,12,0,7,6,2,0,NPool,1,1,4,149000.0,8,0,1,5,1004.0,0,0,1970,1970,2010
17,1296,0,0,1,2,2,NoBsmt,4,0.0,0.0,4,4,0.0,0.0,NoBsmt,0.0,1,2,2,4,0,TA,TA,8,8,4,NFQu,0,3,2,6,516.0,2.0,NG,0,NG,0,0,1296,0,1,TA,2,18,2,TA,3,0,10791,4,72.0,3,0,90,3,0.0,3,3,500,10,19,0,5,4,2,0,NPool,1,1,4,90000.0,8,0,1,6,0.0,0,0,1967,1967,2006
18,1114,0,0,1,3,0,TA,3,646.0,0.0,2,6,1.0,0.0,TA,468.0,1,5,2,4,0,TA,TA,12,13,4,NFQu,0,2,1,6,576.0,2.0,NG,0,NG,0,0,1114,1,1,Ex,2,19,1,Gd,3,0,13695,4,66.0,3,0,20,3,0.0,3,1,0,6,20,102,5,5,2,0,NPool,1,1,4,159000.0,8,0,1,6,1114.0,0,0,2004,2004,2008
19,1339,0,0,1,3,0,TA,3,504.0,0.0,3,6,0.0,0.0,TA,525.0,1,2,2,4,0,TA,TA,3,10,2,NFQu,0,1,1,2,294.0,1.0,NG,0,NG,0,0,1339,0,1,TA,2,20,1,TA,3,0,7560,4,70.0,3,0,20,3,0.0,3,1,0,5,12,0,6,5,2,0,NPool,1,3,0,139000.0,0,0,1,6,1029.0,0,0,1958,1965,2009
20,1158,1218,0,1,4,0,TA,0,0.0,0.0,6,6,0.0,0.0,Ex,1158.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,3,6,853.0,3.0,NG,0,NG,0,0,2376,1,1,Ex,5,21,1,Gd,3,0,14215,0,101.0,0,0,60,3,380.0,1,1,0,11,16,154,5,8,2,0,NPool,1,1,5,325300.0,6,0,1,9,1158.0,0,240,2005,2006,2006
21,1108,0,0,0,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,TA,637.0,1,2,2,1,205,TA,TA,13,14,0,Gd,1,2,1,6,280.0,1.0,NG,0,NG,0,0,1108,0,1,Ex,1,22,1,Gd,0,0,7449,4,57.0,3,0,45,4,0.0,3,1,0,6,9,0,7,7,0,0,NPool,1,1,4,139400.0,8,0,1,6,637.0,0,0,1930,1950,2007
22,1795,0,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,Gd,1777.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,2,6,534.0,2.0,NG,0,NG,0,0,1795,0,1,Ex,2,23,1,Gd,3,0,9742,4,75.0,3,0,20,3,281.0,1,1,0,9,5,159,5,8,2,0,NPool,1,3,4,230000.0,8,0,1,7,1777.0,0,171,2002,2002,2008
23,1060,0,0,1,3,4,TA,3,840.0,0.0,2,6,1.0,0.0,Gd,200.0,1,2,2,4,0,TA,TA,5,5,4,TA,1,2,1,6,572.0,2.0,NG,0,NG,0,0,1060,0,1,TA,2,24,1,TA,3,0,4224,4,44.0,3,0,120,4,0.0,3,1,0,6,10,110,7,5,2,0,NPool,1,1,4,129900.0,8,0,1,6,1040.0,0,100,1976,1976,2007
24,1060,0,0,1,3,0,TA,2,188.0,668.0,5,0,1.0,0.0,TA,204.0,1,2,2,4,0,Gd,TA,9,10,2,TA,1,1,1,6,270.0,1.0,NG,0,NG,0,0,1060,0,1,Ex,2,25,1,Gd,3,0,8246,4,68.0,0,0,20,3,0.0,3,1,0,5,19,90,8,5,2,0,NPool,1,1,4,154000.0,8,0,1,6,1060.0,0,406,1968,2001,2010
25,1600,0,0,1,3,0,TA,3,0.0,0.0,6,6,0.0,0.0,Gd,1566.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,2,6,890.0,3.0,NG,0,NG,0,0,1600,0,1,Ex,2,26,1,Gd,3,0,14230,0,110.0,3,0,20,3,640.0,4,1,0,7,16,56,5,8,2,0,NPool,1,1,4,256300.0,8,0,1,7,1566.0,0,0,2007,2007,2009
26,900,0,0,1,3,0,TA,2,234.0,486.0,1,5,0.0,1.0,TA,180.0,1,2,2,4,0,TA,TA,13,14,4,NFQu,0,1,1,6,576.0,2.0,NG,0,NG,0,0,900,0,1,TA,2,27,1,Gd,3,0,7200,0,60.0,3,0,20,3,0.0,3,1,0,5,12,32,7,5,2,0,NPool,1,1,4,134800.0,8,0,1,5,900.0,0,222,1951,2000,2010
27,1704,0,0,1,3,0,TA,3,1218.0,0.0,2,6,1.0,0.0,Ex,486.0,1,2,2,4,0,TA,Gd,12,13,4,Gd,1,2,2,6,772.0,3.0,NG,0,NG,0,0,1704,0,1,Ex,2,28,1,Gd,3,0,11478,4,98.0,3,0,20,3,200.0,4,1,0,5,16,50,5,8,2,0,NPool,1,1,4,306000.0,8,0,1,7,1704.0,0,0,2007,2008,2010
